KeyLastWriteTime,Path,Key
2018-02-24 10:07:50.364779,\{My Computer}\D:\\BoB,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0 @ 0x0
2018-02-24 10:07:51.979080,\{My Computer}\D:\\BoB\20180106,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6 @ 0x0
2018-02-24 10:07:51.979080,\{My Computer}\D:\\BoB\새 폴더,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6 @ 0x0
2018-02-24 10:07:51.979080,\{My Computer}\D:\\BoB\박문범멘토님,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6 @ 0x0
2018-02-24 06:56:10.988556,\{My Computer}\D:\\BoB\박문범멘토님\20180106,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2 @ 0x0
2018-02-10 06:58:17.277067,\{My Computer}\D:\\BoB\박문범멘토님\20180106\Red Hat Linux 9_KrMil,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\0 @ 0x0
2018-02-10 06:58:17.277067,\{My Computer}\D:\\BoB\박문범멘토님\20180106\Static_Binaries_Command,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\0 @ 0x0
2018-02-10 06:57:39.415421,\{My Computer}\D:\\BoB\박문범멘토님\20180106\Static_Binaries_Command\x86,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\0\1 @ 0x0
2018-02-24 06:56:10.988556,\{My Computer}\D:\\BoB\박문범멘토님\20180113,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2 @ 0x0
2018-02-13 03:08:52.239698,\{My Computer}\D:\\BoB\박문범멘토님\20180113\Linux_2.6.18(10.10.10.10),S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\1 @ 0x0
2018-02-13 03:08:52.239698,\{My Computer}\D:\\BoB\박문범멘토님\20180113\Exploit_&_Dropper 유포,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\1 @ 0x0
2018-02-13 03:08:52.239698,\{My Computer}\D:\\BoB\박문범멘토님\20180113\Windows_Server_2K3(10.10.10.20),S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\1 @ 0x0
2018-02-13 03:08:52.239698,\{My Computer}\D:\\BoB\박문범멘토님\20180113\C&C 서버,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\1 @ 0x0
2018-02-13 03:08:52.239698,\{My Computer}\D:\\BoB\박문범멘토님\20180113\악성코드 생성,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\1 @ 0x0
2018-02-13 03:08:52.239698,\{My Computer}\D:\\BoB\박문범멘토님\20180113\Windows_XP(10.10.10.6),S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\1 @ 0x0
2018-02-13 03:08:52.239698,\{My Computer}\D:\\BoB\박문범멘토님\20180113\분석툴,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\1 @ 0x0
2018-01-20 07:19:11.807272,\{My Computer}\D:\\BoB\박문범멘토님\20180113\분석툴\GUI,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\1\6 @ 0x0
2018-01-20 07:19:11.807272,\{My Computer}\D:\\BoB\박문범멘토님\20180113\분석툴\GUI\IceSword122en,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\1\6\0 @ 0x0
2018-01-20 07:19:11.807272,\{My Computer}\D:\\BoB\박문범멘토님\20180113\분석툴\GUI\Index.dat Analyzer,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\1\6\0 @ 0x0
